# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
ago,182,1406,soil_c (0-30 cms),10,10,10,80,10,10
ago,182,1406,veg_c (above ground biomass),2,1,1,42,1,5
ago,182,1406,veg_c (below ground biomass),1,1,1,30,1,3
ago,182,1407,soil_c (0-30 cms),11,10,10,80,10,10
ago,182,1407,veg_c (above ground biomass),4,1,1,42,1,5
ago,182,1407,veg_c (below ground biomass),3,1,1,30,1,3
ago,183,101,soil_c (0-30 cms),78,60,30,210,50,70
ago,183,101,veg_c (above ground biomass),44,33,0,161,33,93
ago,183,101,veg_c (below ground biomass),13,10,0,48,10,28
ago,183,102,soil_c (0-30 cms),52,60,30,210,50,70
ago,183,102,veg_c (above ground biomass),41,32,0,158,32,91
ago,183,102,veg_c (below ground biomass),13,11,0,51,11,30
ago,183,201,soil_c (0-30 cms),56,50,30,180,40,60
ago,183,201,veg_c (above ground biomass),27,23,2,138,23,46
ago,183,201,veg_c (below ground biomass),12,10,1,59,10,20
ago,183,202,soil_c (0-30 cms),49,50,30,180,40,60
ago,183,202,veg_c (above ground biomass),29,23,2,140,23,47
ago,183,202,veg_c (below ground biomass),12,9,1,57,9,19
ago,183,205,soil_c (0-30 cms),52,50,30,180,40,60
ago,183,205,veg_c (above ground biomass),31,23,2,139,23,47
ago,183,205,veg_c (below ground biomass),13,10,1,58,10,19
ago,183,207,soil_c (0-30 cms),52,50,30,180,40,60
ago,183,207,veg_c (above ground biomass),21,22,2,130,22,43
ago,183,207,veg_c (below ground biomass),11,11,1,67,11,22
ago,183,901,soil_c (0-30 cms),63,60,30,220,50,70
ago,183,901,veg_c (above ground biomass),19,12,1,120,12,33
ago,183,901,veg_c (below ground biomass),10,7,1,66,7,18
ago,183,902,soil_c (0-30 cms),53,60,30,220,50,70
ago,183,902,veg_c (above ground biomass),15,12,1,119,12,32
ago,183,902,veg_c (below ground biomass),9,7,1,67,7,18
ago,183,903,soil_c (0-30 cms),76,60,30,220,50,70
ago,183,903,veg_c (above ground biomass),7,12,1,118,12,32
ago,183,903,veg_c (below ground biomass),4,7,1,68,7,19
ago,183,905,soil_c (0-30 cms),54,60,30,220,50,70
ago,183,905,veg_c (above ground biomass),5,10,1,96,10,26
ago,183,905,veg_c (below ground biomass),5,9,1,90,9,25
ago,183,907,soil_c (0-30 cms),53,60,30,220,50,70
ago,183,907,veg_c (above ground biomass),5,10,1,96,10,26
ago,183,907,veg_c (below ground biomass),5,9,1,90,9,25
ago,183,1001,soil_c (0-30 cms),52,50,30,160,50,60
ago,183,1001,veg_c (above ground biomass),21,18,1,118,18,39
ago,183,1001,veg_c (below ground biomass),10,9,1,58,9,19
ago,183,1002,soil_c (0-30 cms),45,50,30,160,50,60
ago,183,1002,veg_c (above ground biomass),25,19,1,126,19,42
ago,183,1002,veg_c (below ground biomass),10,8,0,50,8,17
ago,183,1005,soil_c (0-30 cms),55,50,30,160,50,60
ago,183,1005,veg_c (above ground biomass),6,15,1,99,15,33
ago,183,1005,veg_c (below ground biomass),5,12,1,77,12,26
